nodes names	cluster
gobp_protein_kinase_c_activating_g_protein_coupled_receptor_signaling_pathway	signaling pathway
gobp_axon_choice_point_recognition	neuronal architecture and development
gobp_regulation_of_postsynaptic_specialization_assembly	neuronal architecture and development
gobp_radial_glial_cell_differentiation	diffentiation
gocc_growth_cone_membrane	neuronal architecture and development
gomf_lysophosphatidic_acid_binding	phospholipid metabolism
gocc_perikaryon	neuronal architecture and development
gocc_trans_golgi_network_transport_vesicle_membrane	transport
gomf_phosphatidic_acid_binding	phospholipid metabolism
gocc_dendritic_spine_head	neuronal architecture and development
gocc_postsynaptic_specialization	neuronal architecture and development
gocc_neuron_spine	neuronal architecture and development
gobp_dense_core_granule_exocytosis	exocytosis/ endocytosis
gobp_neurotransmitter_receptor_transport_to_plasma_membrane	transport
gomf_snap_receptor_activity	exocytosis/ endocytosis
gobp_neuronal_dense_core_vesicle_exocytosis	exocytosis/ endocytosis
gobp_synaptic_vesicle_docking	exocytosis/ endocytosis
gocc_site_of_polarized_growth	neuronal architecture and development
gobp_associative_learning	learning and memory
gobp_learning	learning and memory
gobp_long_term_synaptic_potentiation	learning and memory
gocc_distal_axon	neuronal architecture and development
gobp_regulation_of_synaptic_plasticity	plasticity
gobp_calcium_ion_regulated_exocytosis_of_neurotransmitter	exocytosis/ endocytosis
gobp_vesicle_fusion_to_plasma_membrane	exocytosis/ endocytosis
gobp_organelle_fusion	transport
gobp_membrane_docking	exocytosis/ endocytosis
gomf_syntaxin_1_binding	exocytosis/ endocytosis
gobp_calcium_ion_regulated_exocytosis	exocytosis/ endocytosis
gobp_exocytic_process	exocytosis/ endocytosis
gocc_secretory_granule_membrane	neurotransmitter secretion
gobp_organelle_membrane_fusion	transport
gobp_membrane_fusion	transport
gomf_calcium_dependent_protein_binding	calcium dependent signaling
gomf_snare_binding	exocytosis/ endocytosis
gomf_syntaxin_binding	exocytosis/ endocytosis
gobp_vesicle_docking	exocytosis/ endocytosis
gocc_glutamatergic_synapse	neurotransmitter secretion
gobp_positive_regulation_of_synaptic_transmission	synaptic activity
gobp_vesicle_mediated_transport_in_synapse	transport
gobp_signal_release	signaling pathway
gobp_neurotransmitter_transport	transport
gobp_synaptic_vesicle_membrane_organization	synaptic activity
gobp_synaptic_vesicle_exocytosis	exocytosis/ endocytosis
gobp_neurotransmitter_secretion	neurotransmitter secretion
gocc_presynaptic_membrane	neuronal architecture and development
gobp_regulation_of_neurotransmitter_levels	neurotransmitter secretion
gocc_exocytic_vesicle	exocytosis/ endocytosis
gobp_regulated_exocytosis	exocytosis/ endocytosis
gobp_exocytosis	exocytosis/ endocytosis
gobp_vesicle_organization	transport
gobp_regulation_of_trans_synaptic_signaling	signaling pathway
gocc_synaptic_membrane	neuronal architecture and development
gocc_transport_vesicle	transport
gobp_g_protein_coupled_opioid_receptor_signaling_pathway	signaling pathway
gobp_positive_regulation_of_vesicle_fusion	exocytosis/ endocytosis
gobp_positive_regulation_of_neurotransmitter_secretion	neurotransmitter secretion
gobp_detection_of_calcium_ion	calcium dependent signaling
gobp_spontaneous_synaptic_transmission	synaptic activity
gocc_clathrin_sculpted_monoamine_transport_vesicle	transport
gobp_regulation_of_synaptic_vesicle_membrane_organization	synaptic activity
gobp_positive_regulation_of_dopamine_secretion	neurotransmitter secretion
gobp_spontaneous_neurotransmitter_secretion	neurotransmitter secretion
gobp_positive_regulation_of_synaptic_vesicle_fusion_to_presynaptic_active_zone_membrane	exocytosis/ endocytosis
gocc_chromaffin_granule_membrane	neuronal architecture and development
gocc_clathrin_sculpted_gamma_aminobutyric_acid_transport_vesicle	transport
gomf_modified_amino_acid_binding	modified amino acid binding
gomf_phosphatidylserine_binding	phospholipid metabolism
gocc_clathrin_coated_vesicle_membrane	transport
gocc_clathrin_coated_vesicle	transport
gocc_coated_vesicle	transport
gocc_coated_vesicle_membrane	transport
gomf_calmodulin_binding	calcium dependent signaling
gomf_phosphatidylinositol_binding	phospholipid metabolism
gomf_phosphatidylinositol_phosphate_binding	phospholipid metabolism
gomf_phospholipid_binding	phospholipid metabolism
gocc_neuron_to_neuron_synapse	neuronal architecture and development
gobp_presynaptic_endocytosis	exocytosis/ endocytosis
gobp_regulation_of_neurotransmitter_transport	transport
gobp_synaptic_vesicle_recycling	exocytosis/ endocytosis
gobp_regulation_of_exocytosis	exocytosis/ endocytosis
gobp_regulation_of_neurotransmitter_secretion	neurotransmitter secretion
gobp_regulation_of_regulated_secretory_pathway	neurotransmitter secretion
gobp_regulation_of_synaptic_vesicle_exocytosis	exocytosis/ endocytosis
gocc_excitatory_synapse	neuronal architecture and development
gocc_synaptic_vesicle_membrane	neuronal architecture and development
gocc_neuron_projection_terminus	neuronal architecture and development
gocc_transport_vesicle_membrane	transport
	signaling pathway
